GeneID	control	control	control	perturbed	perturbed	perturbed
22802	0	0	0	2	1	0
55830	4791	5697	5969	6714	6979	5517
27032	10200	7681	12893	15963	17007	12321
3479	0	0	0	1	7	4
92745	111	200	179	17	25	31
10928	9861	8376	13469	16096	16481	13022
22902	1255	978	1668	1700	1690	1222
1272	1	0	0	477	549	384
6556	4	14	11	10	9	12
25937	4614	2695	5493	11215	12209	8692
8540	6801	4473	8543	9838	10221	7113
63932	1542	1887	2056	1923	2091	1358
477	1	6	20	0	1	0
55622	2264	2668	3022	3554	3744	2539
147948	8	24	20	144	146	89
23584	8	12	11	39	26	41
23187	3274	4214	5293	11905	13635	11825
8685	2	5	7	0	3	0
1591	29	20	25	31	20	16
56981	439	535	667	761	825	727
57586	33	29	43	1	14	12
6591	2495	2470	3201	6006	6728	5137
972	45572	67809	63123	84	86	72
3082	0	0	2	0	0	0
54764	4085	3647	5160	6218	6111	4820
23154	1289	1669	1976	3076	3149	3106
25960	25	28	37	79	65	73
155100	0	1	0	0	0	2
55734	1223	1242	1715	2185	2214	1948
4331	2655	3120	3272	3071	3220	2312
23034	6393	3835	8219	5737	5897	4605
864	0	1	1	5	7	7
4361	4016	3305	5410	5581	6233	4429
58473	147	252	210	26	23	20
1992	13450	15727	17080	6460	6648	4910
64816	0	2	5	3	2	1
11136	9	21	16	13	9	12
6683	1091	679	1311	2277	2499	1689
9369	5	7	3	9	7	8
114879	866	1298	1502	1986	1933	1937
9716	3945	2401	4883	7597	7968	5608
1373	389	252	505	646	654	455
732	0	0	0	0	0	0
2273	1481	1284	1796	5979	6020	4539
51507	9660	12771	12068	16144	16813	13067
2554	0	0	0	0	0	0
55655	1124	1359	1477	0	0	0
57210	385	472	572	805	826	768
9921	16132	19742	20258	18415	18584	14246
55778	1101	1654	1800	1119	1277	1074
64429	4193	4181	5396	8086	8587	6471
57476	2051	1423	2798	1085	1143	882
6050	5322	13033	10489	7709	8130	8899
4719	7724	6161	9468	12564	13168	9368
9821	5304	3002	6947	11419	11418	8195
23071	4230	5146	5495	9831	9590	7725
211	4022	4674	4973	6738	7198	5581
330	19765	12830	25793	1362	1456	1027
11215	3330	1140	4253	7862	7882	5753
51022	575	943	722	822	903	696
6617	6113	5768	7311	7439	7628	5760
51071	2485	2798	3183	3386	3558	2586
11171	7106	8585	8898	15386	16207	11830
1244	150	91	206	239	257	163
50619	748	1346	1099	1032	1058	1028
51177	1557	2932	2165	8057	8000	6716
2730	6926	4238	8267	10198	11617	8106
23304	7903	5131	10119	7626	7683	5429
30846	13753	19925	19640	8821	9190	8094
55635	6889	4769	8853	5532	6346	4274
25901	927	1257	1106	1850	1723	1418
58528	2175	2251	2744	6173	6307	4615
3298	2164	1753	2707	2786	2878	2093
51230	6742	5340	9046	10446	10770	7718
8630	37	48	57	49	39	53
10062	899	1406	1334	1251	1334	1138
1890	592	1359	1062	382	491	529
29781	2140	4583	3542	2856	3036	2893
10953	6512	8336	7844	16950	17807	13280
11231	6523	5338	8356	13031	13568	9927
23633	8655	8734	11321	9787	10557	7285
7431	110925	166179	147715	186845	194510	154830
100533107	2323	3114	4681	4584	5532	5774
355	395	343	446	603	640	521
8635	2552	4236	3332	5221	5231	4564
960	94808	98133	122284	128325	130954	97543
3755	0	0	0	1	0	0
56895	1240	1403	1652	2490	2703	2174
57823	132	166	178	8	14	7
11119	3074	2630	4024	3203	3289	2586
4285	1036	1235	1350	1440	1431	1043
5583	424	426	545	610	613	436
3645	0	0	0	0	0	0
3459	5491	5291	6729	5074	5081	3625
11285	1010	1994	1485	2415	2547	2591
9047	10	10	16	6451	7707	6593
7444	1032	805	1312	2311	2436	1657
7133	2076	3154	3008	3183	3222	2853
55591	7295	5039	8785	11295	11736	8598
5452	1605	2226	2261	15221	16785	14153
65980	3959	5378	5561	4249	4711	3925
6642	5232	5198	6735	11305	11581	9335
9519	975	1234	1272	1554	1658	1229
56938	4971	3690	6458	10606	11588	7566
9774	8421	5874	10834	14545	16108	10640
55334	6429	5766	8084	8028	8467	6291
286	940	822	1318	1292	1361	1131
3381	0	2	0	0	0	0
51106	590	698	713	855	991	715
9135	5841	5026	7366	7763	7963	5682
3149	4507	5800	5470	4023	4566	3293
23279	6011	3743	8169	13205	14215	9951
578	4553	6946	6260	6688	7084	5832
4593	236	177	270	2	1	1
22807	319	113	405	399	430	313
2896	21967	43902	38709	60886	60848	60030
51306	2157	1204	2797	4471	4558	3190
57514	1034	686	1286	5173	5748	3978
55166	2685	2365	3431	2051	2152	1543
6301	10975	15214	13892	17275	19201	14119
8498	3585	5218	5410	5281	5628	4769
5926	2367	1233	3056	3495	3676	2561
7260	2514	3683	3282	3203	3221	2834
10908	4095	7850	7513	6089	6088	6709
8100	1429	1289	1880	1959	1883	1340
56052	1416	2088	1910	2499	2634	2109
55596	2344	1924	3066	4442	4906	3480
10061	8413	9435	10508	7447	8331	5792
54480	5895	8039	9170	6704	7229	6536
57554	0	1	7	1	0	0
2530	8800	7782	11450	17825	17198	12875
55236	9093	5342	11783	22258	23563	16637
9846	1538	1222	1912	3396	3378	2566
535	2707	2784	3903	3053	3166	2604
8554	2949	1780	3436	5137	5281	3897
9497	1785	592	2149	4392	4377	3278
321	409	652	703	3507	3571	3391
5606	5297	8555	8043	4610	4868	4217
79645	0	0	0	0	0	0
9168	115287	233405	152167	145323	151096	128971
28990	269	273	304	557	636	482
25897	4652	3015	5872	3612	3736	2790
8504	1615	1438	2001	2164	2302	1690
11345	2346	3346	3063	4741	4887	3845
4653	0	0	0	0	1	0
26751	606	534	693	1000	1097	786
84908	3743	4822	4933	6402	6980	4946
7414	28947	20127	38575	32845	34133	25519
55789	2073	1566	2649	4051	4543	3229
23604	700	848	1000	845	802	649
8439	3203	2819	4222	5809	6109	4473
159	5928	4836	7105	6817	7212	5341
26228	0	0	0	3	0	0
7077	58302	55577	76682	125719	119361	95165
5981	6660	4716	8667	11219	11512	8353
55773	5406	3988	6837	5462	5920	4005
8452	5025	4845	6185	8952	8999	6501
9172	54	76	71	98	83	74
5009	0	0	0	0	0	0
10858	0	4	3	3	3	3
26009	4764	3049	6138	8654	8877	6209
6570	0	0	0	0	0	0
9099	13	17	19	23	18	25
846	0	0	1	0	0	0
27175	2002	2690	3115	3157	3797	3349
51121	1961	3044	2281	2708	2938	2269
2324	1	0	1	0	0	0
54888	8549	8001	11208	10975	12100	8814
54455	2427	2540	2997	3076	3358	2622
4238	1767	622	2399	3104	3302	2345
84245	1689	1920	2467	1669	2003	1687
4234	499	863	750	883	968	696
3224	10	9	7	45	83	58
175	1624	1835	2132	2177	2179	1677
