GeneID	control	control	control	perturbed	perturbed	perturbed
578	4553	6946	6260	3042	3403	3656
4593	236	177	270	3	3	8
22807	319	113	405	336	321	411
2896	21967	43902	38709	52211	56390	53481
51306	2157	1204	2797	3614	3862	4342
57514	1034	686	1286	3452	3805	4210
55166	2685	2365	3431	1965	2065	2171
6301	10975	15214	13892	12560	12958	15785
8498	3585	5218	5410	3590	4084	4305
5926	2367	1233	3056	2769	2667	3333
7260	2514	3683	3282	2442	2687	2868
10908	4095	7850	7513	6098	6077	6378
8100	1429	1289	1880	1557	1579	1839
56052	1416	2088	1910	1913	2088	2341
55596	2344	1924	3066	3308	3320	4253
10061	8413	9435	10508	5996	6621	7699
54480	5895	8039	9170	6581	6973	7492
57554	0	1	7	0	4	0
2530	8800	7782	11450	10865	11573	12914
55236	9093	5342	11783	12149	12024	14885
9846	1538	1222	1912	2568	2381	2964
535	2707	2784	3903	3146	3098	4262
8554	2949	1780	3436	3166	3324	3852
9497	1785	592	2149	3444	3224	4076
321	409	652	703	2946	3114	3283
5606	5297	8555	8043	3241	3555	3778
79645	0	0	0	0	0	0
9168	115287	233405	152167	123359	132563	131489
28990	269	273	304	422	477	601
25897	4652	3015	5872	3031	3120	3794
8504	1615	1438	2001	1695	1880	2034
11345	2346	3346	3063	5466	5706	6377
4653	0	0	0	0	0	0
26751	606	534	693	631	623	916
84908	3743	4822	4933	4476	4470	5437
7414	28947	20127	38575	23030	24116	29326
55789	2073	1566	2649	2776	2873	3247
23604	700	848	1000	653	589	792
8439	3203	2819	4222	4651	4923	5754
159	5928	4836	7105	5243	5308	5900
26228	0	0	0	0	0	0
7077	58302	55577	76682	94238	100054	110569
5981	6660	4716	8667	9113	9138	10592
55773	5406	3988	6837	5034	4984	5920
8452	5025	4845	6185	6608	6959	8197
9172	54	76	71	38	46	60
5009	0	0	0	0	1	1
10858	0	4	3	5	2	3
26009	4764	3049	6138	6968	7179	8437
6570	0	0	0	0	0	0
9099	13	17	19	52	38	61
846	0	0	1	0	0	0
27175	2002	2690	3115	3225	2985	4120
51121	1961	3044	2281	2429	2737	2709
2324	1	0	1	0	0	1
54888	8549	8001	11208	7602	7591	9268
54455	2427	2540	2997	2714	2815	3474
4238	1767	622	2399	2628	2817	3409
84245	1689	1920	2467	1519	1375	1955
4234	499	863	750	672	784	867
3224	10	9	7	37	37	58
175	1624	1835	2132	1435	1532	1607
55300	3816	2754	4839	4059	4203	4805
259282	5534	2381	6822	10102	10129	11918
27430	6770	5357	8180	5288	5558	6331
7092	0	0	0	1	0	2
23644	3150	4170	5109	4570	4814	5682
7204	27820	14382	37648	27238	29170	32202
1462	10	7	6	34	32	50
23274	1234	1265	1816	1822	2023	2230
4481	2	2	1	49	62	82
999	667	467	753	1	0	1
23517	2778	2212	3573	3533	3497	4233
1767	1203	1185	1523	373	377	435
9765	2897	1323	3903	8662	8543	10493
79567	7124	9157	11730	9502	9922	11839
729	0	0	0	0	0	0
26064	10668	7228	13477	34220	35441	41321
11063	4	0	2	7	4	4
11284	1451	2679	2554	1160	1126	1440
54831	1	0	0	0	2	0
23035	1287	788	1622	2233	2354	2615
54908	7435	6378	9448	4690	4579	5377
27067	2335	1422	2984	2211	2231	2615
54896	1145	2156	1758	1689	1905	1860
1497	1508	2112	2199	2149	2298	2570
65078	38	110	109	0	3	1
79142	3855	5320	4951	6172	6448	7311
1008	0	0	0	4	7	11
3631	2579	1721	3533	4687	4523	5643
5874	3115	1601	3776	1076	1081	1237
5685	8378	12411	10430	8503	9525	10243
23026	36	26	50	212	236	229
55341	2394	2380	3018	4321	4579	5397
10039	1359	1722	1970	3199	3354	3837
3371	5268	4199	7028	37760	38003	40935
90326	736	1512	1153	903	977	987
140876	84	117	149	93	125	115
55775	3067	3030	3881	2851	3128	3679
84883	3032	4452	4071	2295	2441	2843
56918	0	1	0	1	0	0
55812	581	625	742	587	609	761
9440	3894	3604	4957	4197	4345	4875
54884	5710	5805	7613	4387	4446	5448
822	18260	34924	26206	21272	22962	22877
1175	7105	14192	9596	8591	9597	9252
7399	0	0	2	27	10	7
11055	0	0	0	0	0	0
7038	4	7	4	2	2	5
10863	755	517	1010	618	514	795
8538	0	1	5	1	0	1
54165	2622	1834	3246	5191	5245	6205
23338	5186	5194	7405	4354	4845	5210
7546	344	486	477	1422	1502	1612
3937	0	0	0	0	1	0
54802	1547	1794	2040	1819	1645	2115
153	0	1	3	13	34	13
2981	0	0	0	0	0	0
9820	5887	6783	8882	7755	7511	9999
1495	47737	44994	62535	42973	45681	51247
5256	1926	1973	2765	2810	2500	3782
54875	0	0	0	0	0	2
2042	0	1	1	75	96	103
3309	75967	92410	101321	118832	118879	132846
1829	16443	7068	20980	18577	19408	21640
54960	741	991	968	841	910	1166
8481	2643	2674	3947	3722	2905	5613
2824	3	0	0	0	0	0
51438	22	30	37	11	1	6
80243	0	0	0	1	0	0
22884	1258	1115	1688	1692	1873	2131
64848	3163	1893	4120	4606	4519	6157
56474	1630	1576	2162	2453	2583	3035
51606	2829	3691	3754	3590	3866	4065
5431	14087	11257	17874	12651	13102	15391
56204	632	397	711	1227	1173	1511
116984	297	196	395	1149	1173	1404
7175	14456	9856	18666	19375	19384	23192
1356	1	3	4	47	50	50
23247	1032	920	1441	1860	1834	2299
84062	1434	2376	1935	1112	1082	1175
7504	49	39	56	51	52	56
57101	46	67	57	0	1	0
57102	1422	1362	1964	1886	1995	2559
6322	2285	1455	2920	2582	2540	3331
55841	8852	7445	12135	7504	8138	8941
395	0	0	0	2	0	1
27146	3	7	9	6	5	5
4134	41430	35985	55793	30497	32367	38369
57120	2607	1838	3360	4482	4715	5725
6098	2	0	3	4	3	7
57646	6161	3779	7739	5429	5670	6762
9734	7002	3186	8632	3713	3868	4421
26262	4349	7331	6572	6053	6505	7271
51491	1802	3115	2427	1858	1978	2143
57545	1128	1055	1449	2191	2171	2502
50484	2439	1381	2953	3461	3514	4179
168850	1309	719	1579	1470	1431	1765
608	1	1	0	1	0	1
92017	786	465	975	2294	2423	2537
55885	0	0	0	3	2	2
55173	14195	14879	18027	11858	12410	13838
2978	4	1	0	0	0	0
51773	4641	2856	5702	8882	8773	10416
55187	2796	1562	3653	4461	4706	5055
10659	1044	580	1286	38	23	51
23196	18982	14231	26044	20060	21778	24529
23518	4244	3016	5426	4368	4687	5512
1298	610	1097	996	507	441	549
4254	2841	1160	3597	495	577	647
1161	1136	992	1422	2199	2257	2733
11174	522	250	665	10806	10989	13683
9563	8303	7794	11037	23665	24597	27045
9341	11597	12996	14354	10026	10779	12189
8863	2333	1546	3127	963	1006	1099
10911	1	4	0	0	0	1
3604	929	742	1222	159	169	210
55040	125	159	204	4	1	6
4052	2231	1404	2765	10657	10757	11850
5954	32404	38912	40791	41395	41587	47930
2006	0	0	2	0	9	0
5982	5085	7939	6431	3088	3376	3621
57492	1853	1169	2560	3434	3747	4246
81037	10532	15521	15125	8536	9413	10301
23327	11984	9965	15581	4692	5093	5926
50943	1	7	6	1	9	8
89801	634	1385	1007	1498	1585	1831
3074	11956	14301	14857	28407	29353	32553
79810	499	443	608	896	1023	1094
340533	3	4	11	4	0	0
51528	6733	6193	8328	6477	6749	7442
27122	103	108	116	165	167	237
7984	1149	1252	1524	940	912	1176
9603	14169	13104	17524	6561	6624	7884
63933	7338	5608	9088	5712	6171	6779
51474	10419	7939	13158	5600	5652	6696
25875	1922	2030	2335	3703	3804	4850
9498	31	14	36	396	370	444
10319	0	3	0	3	0	0
5733	3	2	1	5	1	4
79931	186	111	257	1983	1974	2378
5601	7238	6784	8824	6141	6455	7389
91522	1	0	0	1	2	1
9564	2111	4253	4187	3419	3580	3276
84067	1680	1910	2573	2205	2213	3068
9709	3166	3439	4005	5613	5956	6824
9454	1124	2509	1998	1570	1550	1492
5888	1534	2269	1924	800	879	1077
10721	1313	807	1728	1051	1128	1382
5291	3616	2534	4720	3653	3799	4350
1535	1878	5615	3894	6334	6758	6120
84321	2035	2686	2476	1712	1795	1919
23593	3361	5215	4097	4425	4374	5068
10198	3177	1837	4218	3742	3969	5066
54477	2919	1862	3827	5581	5583	6624
5652	29	114	65	12	4	11
80143	3057	2082	3913	4815	4780	6195
23223	1858	2713	2789	2961	3200	3692
57600	1110	481	1360	1779	1906	2147
6307	3760	3331	4453	3459	3586	3821
55761	6273	4520	8369	10094	10171	12096
60529	12	21	25	0	0	0
23105	2	1	2	0	3	3
1112	7473	4608	9875	5612	5687	6757
728464	0	0	0	0	0	0
8574	3695	6783	5207	3550	3855	4068
51154	5159	8351	6597	3759	4108	4696
4826	0	0	0	0	0	0
55850	567	1327	862	752	777	807
23101	16	11	24	91	78	124
83714	0	0	0	0	0	0
3909	9305	5527	12164	851	963	1232
55745	2917	2021	3776	4210	4279	5339
29945	1733	1821	2360	2707	2576	3506
3784	42	78	64	0	0	0
27095	4863	7275	6166	4728	5049	5661
9967	12321	10204	16448	12717	12973	15312
29085	5113	11557	8365	3991	4244	4300
954	2	11	3	2	1	0
4065	914	415	1088	1831	1906	2052
51742	6024	5448	7585	7956	7671	9077
23596	991	1047	1238	979	1116	1130
10806	955	994	1100	11891	12033	13764
5798	0	5	2	6	1	9
55733	341	317	440	846	878	1011
23095	5814	3233	7020	7117	7676	8652
2296	827	800	1206	711	734	781
25771	1560	2550	2275	2899	2939	3120
23224	3565	1817	4561	2239	2563	2486
57475	717	458	1015	618	599	913
10079	974	598	1276	422	362	444
23626	0	0	0	0	0	0
140689	0	0	0	0	0	0
25884	4	16	15	20	14	21
23201	7734	5830	9981	12992	13623	15841
84957	865	1357	1433	2947	3185	3521
2581	3179	2210	3725	4502	4519	5314
51602	4587	5824	6011	6170	6131	7417
26099	12973	14791	17027	17048	18645	19926
3757	3	1	1	0	0	0
8454	10142	9873	12982	6334	6452	7348
