GeneID	perturbed	perturbed	perturbed	control	control
3645	7	10	4	1	3
3459	2093	1918	1875	2486	2097
11285	2055	2045	1774	1817	1796
9047	732	732	372	286	408
7444	1306	1265	997	1544	1252
7133	360	328	335	222	276
55591	3974	3835	4036	5392	5150
5452	520	527	836	723	761
65980	4238	3986	4146	3923	4175
6642	5758	5465	5720	4859	5401
9519	2715	2433	2258	2699	2675
56938	1022	1043	1735	2317	2008
9774	10759	10107	10100	20809	18838
55334	3701	3418	3554	3860	4048
286	1343	1162	1466	1459	1091
3381	0	0	0	0	0
51106	1792	1620	1520	1502	1842
9135	2210	1892	2553	3112	3582
3149	49262	45833	28062	26475	27207
23279	14546	13255	16948	18664	20791
578	5096	4743	4532	3695	4002
4593	4	4	0	1	0
22807	86	83	161	215	250
2896	9385	8916	11097	10129	9862
51306	1068	1125	1234	1643	1132
57514	742	681	579	335	597
55166	831	763	737	1394	1109
6301	13598	12389	10994	8776	9817
8498	9003	8575	7737	7130	7385
5926	469	524	759	1484	1344
7260	3085	2897	2220	1793	1912
10908	5316	5167	5610	4033	4825
8100	473	476	408	602	706
56052	2845	2677	2343	2263	1937
55596	2324	2181	2463	3133	3273
10061	8159	7564	6914	7813	7395
54480	2328	2127	2754	2211	1953
57554	35	27	31	71	69
2530	2082	1945	1539	1400	1585
55236	4120	3807	4360	6421	6996
9846	901	933	1214	999	1418
535	2965	2571	3122	3324	3653
8554	2379	2073	2542	2880	3390
9497	4088	3895	4937	6884	9275
321	3062	2856	1939	1792	1738
5606	3483	3385	3325	3136	3143
79645	4	2	1	6	4
9168	36370	34595	32573	25156	22950
28990	715	602	549	642	566
25897	700	652	853	1140	1106
8504	1755	1566	1169	1785	1775
11345	3962	3748	2973	3093	3547
4653	1	0	0	0	0
26751	1275	1264	1391	1812	1774
84908	13056	12190	10515	12192	11281
7414	37520	34886	58264	89839	72838
55789	6692	6329	5027	5891	6423
23604	140	165	116	92	107
8439	3364	2922	2494	2544	2361
159	7932	6970	7130	8673	9100
26228	0	0	1	1	3
7077	3095	2709	2701	2791	2658
5981	7117	6599	8487	11416	12827
55773	1618	1514	1419	2135	2301
8452	5241	4890	6798	7689	8217
9172	96	68	70	72	66
5009	0	0	0	0	0
10858	21	18	31	26	55
26009	2812	2675	3309	4816	5516
6570	0	0	0	0	0
9099	355	296	288	214	424
846	12	18	8	7	16
