GeneID	control	control	control	control	control	perturbed	perturbed	perturbed	perturbed	perturbed
25900	695	502	573	1152	1028	834	810	1138	1232	857
2696	1	0	2	1	0	2	3	2	5	0
51533	194	134	185	174	157	134	119	138	230	172
56920	16	12	7	58	76	99	110	145	183	137
11188	2955	2341	3099	3657	3832	2369	2169	2704	3241	2085
23166	11	2	4	2	2	14	12	12	8	13
80199	334	261	301	266	249	319	294	361	225	175
6540	2	0	1	18	19	7	4	2	16	15
3423	790	641	743	1187	1161	786	700	834	988	675
5646	80	51	67	213	187	216	189	271	170	170
7752	685	636	684	950	933	845	813	931	1128	854
920	0	0	0	1	0	2	4	0	0	1
10233	414	330	360	367	373	325	296	377	319	257
695	4	0	4	5	1	3	5	10	4	2
3077	599	497	580	889	789	937	968	1119	814	543
22955	1423	1102	1405	1447	1436	1169	1124	1461	1135	817
2534	6602	5600	6055	8495	7999	5650	5109	6926	10590	7166
3097	1673	1519	2041	5371	5228	2800	2991	3908	8226	6436
2326	7	6	5	30	17	0	4	4	1	8
6924	4045	3663	4300	6045	5601	4455	4408	5473	6555	4985
11313	1452	1214	1484	2863	2593	2901	2444	3207	3768	2956
1185	428	322	463	388	352	329	327	547	373	263
9902	51591	38933	47327	15677	15524	31216	26026	30302	14122	8683
654364	111	71	69	83	91	81	61	99	100	101
6534	0	0	1	25	17	8	11	12	9	18
10867	508	398	512	2856	2808	908	827	1198	1897	1301
55727	1902	1805	2150	2232	2180	1474	1587	2041	1665	1069
9546	938	616	841	892	920	801	744	955	1275	980
54903	393	316	364	362	324	359	294	377	326	230
51099	3302	3074	3190	3949	4074	2209	1926	2457	2861	2075
3730	7	6	9	40	48	8	12	9	10	10
26993	2159	1648	1816	2671	2491	2658	2271	2826	3254	2406
54799	655	634	756	997	916	682	752	850	854	751
51096	2715	2192	2350	2652	2670	3336	3061	3778	2924	2100
54476	4828	3866	4553	4369	4327	3807	3612	4670	4087	2872
54902	1999	1724	1967	1802	1901	1780	1580	1922	1369	999
5725	3998	3269	3926	4372	4204	5254	4729	5727	5772	3999
8193	68	62	81	96	131	76	75	105	64	64
9066	699	530	674	312	312	1121	1135	1496	440	354
23395	1156	907	1165	1612	1615	2102	1983	2623	2097	1454
5286	5110	4271	4933	7943	7657	4956	4991	6202	6373	5205
5329	1868	1743	2035	2147	2059	9762	8241	9473	6069	3712
54443	224	199	218	61	66	160	177	206	44	47
58525	996	725	1178	1745	1458	938	776	908	1321	918
23637	4156	3252	3693	5305	4909	3163	2917	4055	3853	2864
1634	127269	108180	114755	382377	359491	104414	97610	129076	250577	186072
54814	463	377	369	262	213	252	242	297	216	167
5536	2121	1670	1867	2668	2625	2488	2202	2987	2633	2057
23177	851	663	799	1191	1047	693	667	753	910	583
8491	2667	2325	2510	4171	3921	3404	3352	3926	5009	4361
27033	0	1	0	1	0	4	1	0	10	5
7305	0	0	1	0	0	0	0	0	0	1
57146	2105	1715	1908	2688	2656	1142	1148	1602	1850	1411
2556	0	0	0	2	0	1	0	0	0	0
672	399	368	501	525	477	347	347	363	383	298
2067	5460	4155	4716	4661	4347	4536	3806	5163	4045	3122
933	2	0	1	0	0	0	1	2	0	1
7869	251	194	248	322	377	122	150	182	314	190
51360	477	433	564	571	485	498	503	561	347	310
4007	213	150	183	300	269	255	189	290	346	284
4057	0	1	0	8	1	3	4	1	1	3
2137	1578	1304	1579	2060	2055	1864	1720	2339	2319	1575
9971	0	0	0	0	1	0	1	0	0	0
60481	7699	6641	7463	9764	9056	5638	5560	7041	6139	5193
240	0	0	1	1	3	1	0	2	6	2
8284	2190	1693	1969	1718	1780	1771	1727	2465	1784	1208
57658	5332	4549	4921	9495	8630	6285	5499	7496	10787	8426
55148	1339	1057	1220	1603	1495	1208	1078	1434	1243	898
